id;NAME;REGION;PHONE;EMAIL;ADDRESS;OKATO;CODE;autokey
379;Дорогомиловская межрайонная прокуратура города Москвы;Город Москва столица Российской Федерации город федерального значения;8 499 249 98 48;dor@77.mailop.ru;121170, г. Москва, ул. Кутузовский пр-т., д. 37,корп. 1;45;344936611;FED_GENPROK_ORGANIZATION_379
1279;Прокуратура Калининского района г. Новосибирска Новосибирской области;Новосибирская область;8 (383) 271-56-46;kalin@54.mailop.ru;630110, Новосибирская область, г. Новосибирск, ул. Новая заря 40а;50;383935594;FED_GENPROK_ORGANIZATION_1279
1312;Омская межрайонная природоохранная прокуратура;Омская область;8 (3812) 51-08-32;r_pri@prokuratura.omsk.ru;Омская область, г. Омск, ул. Тарская, д. 11;52;384134506;FED_GENPROK_ORGANIZATION_1312
289;Прокуратура Суровикинского района Волгоградской области;Волгоградская область;8(84473) 2-50-61;surovikino@34.mailop.ru;404420, Волгоградская область, г. Суровикино, мкр.1-й, д.50;18;385857212;FED_GENPROK_ORGANIZATION_289
392;Московская прокуратура по надзору за исполнением законов на воздушном и водном транспорте;Московская межрегиональная транспортная прокуратура;8 (495) 459-90-38;mosnvtt@190.mailop.ru;125212, г. Москва, Ленинградское шоссе, д. 58/10;45;382695779;FED_GENPROK_ORGANIZATION_392
306;Прокуратура г. Вологды Вологодской области;Вологодская область;8 (817-2) 72-06-54;vogor@35.mailop.ru;160009 г. Вологда, ул. Зосимовская, д. 60;19;385871111;FED_GENPROK_ORGANIZATION_306
1086;Прокуратура Омсукчанского района Магаданской области;Магаданская область;8 (41346) 9-19-54;omsprok@bk.ru;686410, Магаданская область, Омсукчанский район, п. Омсукчан, ул. Транспортная, д. 2;44;386651626;FED_GENPROK_ORGANIZATION_1086
1072;Прокуратура Липецкой области;Липецкая область;8 (4742) 27-34-27;prok@48.mailop.ru;398000, Липецкая область, г. Липецк, ул. Зегеля, 25.;42;360082639;FED_GENPROK_ORGANIZATION_1072
229;Владимирская транспортная прокуратура Приволжской транспортной прокуратуры;Приволжская транспортная прокуратура;8-492-2-49-33-38;vlat@490.mailop.ru;600006, Владимирская область, г. Владимир, ул. Вокзальная, д. 2;17;382714471;FED_GENPROK_ORGANIZATION_229
443;Прокуратура Красносельского района города Санкт-Петербурга;Город Санкт-Петербург город федерального значения;8 (812) 609-90-10;kanckrs@78.mailop.ru;198259, г.Санкт-Петербург, ул.Пограничника Гарьковского, 48 корп.4;40;383202555;FED_GENPROK_ORGANIZATION_443
314;Прокуратура Нюксенского района Вологодской области;Вологодская область;8 (817-47) 2-90-05;nukse@35.mailop.ru;161380, с. Нюксеница, ул. Советская, д. 1;19;385892839;FED_GENPROK_ORGANIZATION_314
201;Прокуратура Гордеевского района Брянской области;Брянская область;8(48340)2-16-50;gord@32.mailop.ru;243650, Брянская область, пос. Гордеевка, ул. Кирова, 1-Б;15;383046587;FED_GENPROK_ORGANIZATION_201
